id,name_en,poverty,name_sr,arr_dom,arr_int,pop,male,female,net ,gross,Province
150,Odzaci,37.1,Odžaci,27,17,26382,12932,13450,66850,92617,Zapadno-Bački
151,Sombor,27.5,Sombor,809,1136,74780,35852,38928,71321,98780,Zapadno-Bački
152,Cajetina,26.5,Čajetina,23220,11562,12843,6312,6531,66937,92776,Zlatiborski
153,Arilje,29.4,Arilje,179,66,16001,7899,8102,62669,86550,Zlatiborski
154,Bajina Basta,34.7,Bajina Bašta,8114,1042,22474,11122,11352,63195,87554,Zlatiborski
155,Kosjeric,32.8,Kosjerić,192,13,10568,5214,5354,69081,95941,Zlatiborski
156,Nova Varos,40,Nova Varoš,3266,474,14598,7249,7349,64789,89714,Zlatiborski
157,Pozega,25.2,Požega,430,863,25762,12482,13280,72554,100388,Zlatiborski
158,Priboj,38.7,Priboj,768,401,23584,11631,11953,66857,92489,Zlatiborski
159,Prijepolje,42.9,Prijepolje,312,136,30989,15361,15628,62660,86701,Zlatiborski
160,Sjenica,46.6,Sjenica,591,649,20817,10592,10225,65601,91015,Zlatiborski
161,Uzice,17.9,Užice,2248,2721,67503,32558,34945,79707,110736,Zlatiborski
,,,Kostolac,83,6,11034,5403,5631,88421,123254,Braničevski
,,,Crveni Krst,278,2266,27504,13746,13758,69438,95954,Grad Beograd
,,,Petrovaradin,,,28986,14085,14901,,,Južno-Bački
,,,Medijana,1905,5190,75090,34846,40244,93715,129992,Nišavski
,,,Palilula (Niš),999,4908,62928,30708,32220,74909,103479,Nišavski
,,,Pantelej,397,962,45719,22253,23466,77229,106765,Nišavski
,,,Vranjska Banja,354,36,8147,4102,4045,59840,82686,Pčinjski
,,,Sevojno,3,0,,,,73613,102716,Zlatiborski
